imdbId,tvdbId,tmdbId
tt0002940,360409,264627
tt0224625,53444,195584
tt0013626,33730,49452
tt0000648,85327,196604
tt0000455,46727,49273
tt0060984,12865,48784
tt0215664,105630,44335
tt0003310,124786,192027
tt0002374,,363697
tt0076173,330979,127390
tt0216229,,1378853
tt0898907,57537,135141
tt1515780,,201934
tt0000910,223559,487165
tt0434032,,321837
tt0209175,330963,47451
tt0310124,52196,44391
tt0009678,49342,21701
tt0311410,101267,151455
tt0000355,75741,179038
tt1376271,212385,49268
tt0132687,329015,268256
tt0004342,360386,267318
tt0133178,236565,267148
tt0835020,105675,200671
tt0251116,210817,260406
tt0248878,340325,1026972
tt0999895,,391100
tt0277050,98308,49301
tt0005678,55930,174149
tt0271697,199836,189605
tt0063514,186616,243319
tt0006761,223968,282009
tt0028296,113833,202051
tt0268975,93701,174532
tt2105005,83419,135589
tt1330608,,141785
tt0009806,73203,174915
tt0000416,80059,196124
tt0084820,232895,244435
tt1104710,111695,187945
tt1884499,200715,199833
tt0932954,,335018
tt0904054,,1166035
tt0814329,105585,1147875
tt2121833,169619,175623
tt0441224,261974,407472
tt0042520,322379,242960
tt0028457,,219149
tt0249655,107862,144424
tt0247583,199150,257342
tt0223436,245007,387352
tt0342924,,941273
tt1024766,,319125
tt1390977,,1581931
tt0366670,,941469
tt3453996,164642,290908
tt3290558,,1118863
tt0403967,,1354640
tt3777400,45523,368489
tt0200875,243000,391399
tt4817576,46525,369373
tt0040200,56380,240440
tt5189374,285860,448469
tt5564414,,1289278
tt2852262,196365,447859
tt0436089,261645,232236
tt0367935,,289407
tt21191726,,1456760
tt0235637,247325,387672
tt2620212,72959,374508
tt0477387,,195970
tt0015916,203781,184484
tt3042000,,302665
tt0123908,,504453
tt1373450,,210422
tt0389182,199874,213118
tt7231050,,1010615
tt0146868,105360,174521
tt2887246,,1116616
tt0392925,108994,147490
tt0074805,144385,26536
tt0950716,267095,335014
tt2238777,328480,91108
tt33364858,,1355400
tt0004011,35565,53400
tt0020698,42150,50862
tt0003805,31823,22870
tt0010057,25934,53425
tt0283994,30939,30091
tt0007507,16408,13707
tt0043548,25408,45970
tt0023950,26866,48672
tt0487562,43112,79703
tt0005489,30040,53402
tt0017610,,374150
tt0234953,138940,191974
tt0420931,60252,44279
tt0010155,30130,51472
tt0135179,101666,44333
tt0794263,,776008
tt0314614,254869,659405
tt0004242,,904546
tt0106584,104844,472693
tt0009015,145107,335705
tt0001245,56846,339785
tt0200700,,762270
tt0006985,212966,53757
tt0393482,,1140286
tt0007334,,1010665
tt1329206,,950361
tt0001360,,936405
tt0002551,,944831
tt0089199,26963,31609
tt0231639,74337,131933
tt0292458,,22759
tt0005313,88107,174217
tt0816201,,315925
tt0005581,,609109
tt0234674,247228,327287
tt0088159,75501,37363
tt0092020,41615,59357
tt0804331,,933280
tt0098604,187365,100819
tt1342401,,583570
tt1619855,,289936
tt0004064,219387,174028
tt0204973,65179,152216
tt0240423,65179,152216
tt1817229,64244,79392
tt2922112,85871,199702
tt0219366,,918209
tt0005026,220521,191201
tt0402038,,933127
tt2164232,187934,434373
tt3395306,,421150
tt1536429,,373817
tt0249654,94292,347474
tt0004424,,1007630
tt1477695,,1029162
tt0002205,,936670
tt0151585,80924,83374
tt0348047,,879993
tt0003521,,984815
tt0000528,,465497
tt1531020,277588,345557
tt0483675,,942275
tt0473233,,1126018
tt0124029,182756,254734
tt0003434,,938672
tt1225808,,813352
tt0896728,,986344
tt0070296,231623,243372
tt5201232,,1231999
tt5485874,112797,393588
tt4007324,,407864
tt5246394,,435668
tt6172460,15503,439059
tt0070624,79705,143095
tt5478714,295253,503214
tt0028441,90795,151867
tt7158756,109504,518751
tt0316493,330014,286280
tt0021386,207933,315737
tt0154294,190272,347353
tt0214263,,354499
tt2127340,,114339
tt11598898,312614,656477
tt13660390,,800139
tt16279844,,992804
tt24654284,366145,1061668
tt0419818,,49316
tt0014997,225158,228488
tt0139670,330166,360171
tt1186652,274886,317349
tt1718769,,396566
tt0225445,,386677
tt1409737,,1265164
tt1798098,,943332
tt0048180,59818,310270
tt1841608,278879,361213
tt0058026,43184,127323
tt2093084,,81776
tt26886416,,1099991
tt6595908,41341,441965
tt0018583,28574,50920
tt0018890,49532,48816
tt0000006,,356154
tt0027001,,184549
tt0071596,,228443
tt0033730,,236817
tt0095987,98563,132542
tt0056091,190009,243230
tt0021646,37615,48755
tt0019832,72047,48815
tt0000728,329205,232923
tt1422757,75685,15324
tt0091787,164973,147081
tt0038121,,240394
