imdbId,tvdbId,tmdbId,tvmazeId
tt0243517,,41884,
tt0057453,,9592,
tt0491807,253099,11634,33057
tt0286394,,34863,
tt0077418,,48611,
tt0095678,341577,47231,
tt0328290,302181,20840,
tt0290273,,41949,
tt0078496,,49660,
tt7510728,,202132,
tt0259786,,73412,37086
tt0285393,442885,57745,
tt3277592,329139,64703,
tt32393496,337155,154171,
tt8726338,,77781,17634
tt0213668,,39117,
tt0382465,,21140,22964
tt0094462,316149,38940,50691
tt0105998,265357,48904,
tt0393403,,99590,
tt0084289,,31008,
tt0213808,302307,62784,
tt5833846,324918,70541,34827
tt5680698,,129758,
tt4610114,317818,77288,66850
tt6031834,342307,101984,54971
tt0159892,,29954,22462
tt9065432,,82832,
tt1441403,,214407,
tt11426704,,96098,
tt0089653,,48331,
tt14179230,392507,211894,
tt0083463,325199,64266,
tt0079294,,49423,
tt0213073,,55937,
tt0084525,,31043,
tt0091984,,31048,
tt0081264,,49232,
tt0409797,171691,57344,
tt0071108,,43685,
tt0461693,,43447,
tt0065268,205481,80183,
tt0105604,399890,82347,55506
tt0468988,79575,126193,33063
tt0116613,327566,114126,50185
tt1504261,219071,38723,27347
tt1227637,85137,31756,27504
tt0264262,96591,16433,36663
tt0104666,100311,36737,6672
tt0115309,345813,75671,45044
tt0100361,248924,47439,24123
tt0216584,,4678,
tt0231296,,317357,
tt0401984,219791,82969,11541
tt0143767,,51693,
tt0260610,266116,74266,
tt0074073,280229,303923,
tt0114540,,321213,
tt0443412,376124,9199,
tt0399007,,72931,
tt0115392,279382,20455,23346
tt1263721,280710,203032,
tt0072534,261610,64102,
tt2082239,,50466,
tt0221496,339261,126562,
tt0085086,255581,64730,53453
tt0283245,,19640,
tt0126737,302847,35524,
tt0416362,248481,303600,45046
tt0085107,274879,19086,
tt0099237,,47502,
tt0814150,,60053,
tt0089640,,48510,
tt0267251,420775,113389,62318
tt0218832,318054,99831,44916
tt0070089,,227366,
tt1369836,88191,73647,69856
tt1421727,318861,103079,52556
tt1429440,288358,81889,50225
tt1809002,225301,111667,
tt0087480,,48578,
tt0417546,,72360,
tt0770824,,43615,
tt0323332,,46979,
tt0079825,,41619,
tt0401742,,41915,
tt4623422,,200766,
tt0770737,,45321,
tt0327775,,20800,
tt0403950,,7616,
tt0097834,,48545,
tt0089062,,39655,
tt0490950,,20707,
tt0196603,,18917,
tt0222029,,45617,
tt0875948,237421,35426,38098
tt0108858,71908,14771,14775
tt0110511,,41905,
tt0082780,,125703,
tt0098023,,41748,
tt0491100,,16854,
tt0091913,,19796,
tt0115875,,49026,
tt0088833,,76459,
tt0783494,,47337,
tt0994758,,59916,
tt0087501,,48438,
tt0082946,,17218,
tt0093852,,41999,
tt0331668,,21113,
tt0096285,,60492,
tt0119991,225041,20259,38864
tt1327679,83401,50102,
tt0113309,378693,47178,
tt0115418,80105,30715,19798
tt0130235,,71195,
tt2914762,276791,60649,8436
tt2677850,261543,75711,
tt1319038,269106,30967,92491
tt2315896,268669,73328,5743
tt0198072,121241,132299,51048
tt0108156,,17102,
tt0418370,,326508,
tt4401126,300600,63919,10449
tt4645614,295876,66823,7215
tt1866570,261111,43529,2321
tt0272982,,135199,
tt4675172,,129645,35391
tt5834534,396486,78144,55371
tt0375552,,279547,
tt0083383,285406,26579,89681
tt1669695,426261,80718,
tt9322614,362082,99127,39694
tt9200376,371553,95311,47837
tt2368215,288372,75696,19744
tt1671386,333607,68647,
tt11286554,,322888,
tt16808476,,201861,
tt1023144,,42463,
tt0080805,,29890,
tt0296923,,100286,
tt1748166,170551,33050,4908
tt1830238,233181,305494,46679
tt1391753,111371,328482,12176
tt2266028,260832,330187,
tt2266399,264109,133134,7641
tt4775200,294565,64127,22466
tt7387216,,121900,
tt5435072,308180,68833,12912
tt4067492,457095,126187,
tt6209442,309074,67842,14570
tt6058390,318031,68150,21872
tt5214726,305242,95671,
tt6548228,331600,71116,25414
tt6616556,,88579,
tt6938856,336770,79299,32696
tt7151624,416842,136441,
tt5202616,326037,299835,13529
tt5745106,302222,314981,40992
tt3612614,,290151,
tt8055980,,137801,
tt5256378,265242,319425,28310
tt8292392,364975,82093,43264
tt7983936,407624,129679,
tt4788698,308088,108947,
tt10262630,362999,90814,42861
tt3036906,281092,71935,
tt8324806,357567,84770,43377
tt6581070,317197,83411,30510
tt10695770,367418,320875,56139
tt5000936,297327,208780,44117
tt11853516,,288922,
tt11912196,378231,100911,46942
tt12070250,380921,121902,
tt9522310,363579,89690,
tt12374112,382840,103847,
tt11958648,381080,102905,48074
tt12054924,379213,101214,
tt11685208,372237,158660,
tt12721876,,108615,
tt11993258,384572,105271,52210
tt13586674,403312,115642,
tt9444348,386844,107417,
tt9511560,374717,88194,65741
tt12262154,403518,254183,
tt13394544,392076,113710,51772
tt13875508,,117204,
tt15438100,396620,123479,
tt13429172,401750,122885,63457
tt13238458,402989,111426,51273
tt14196410,398084,117987,54147
tt11834150,377509,99657,46382
tt8391048,,89706,
tt13515738,375091,96337,
tt20426062,412047,138489,59734
tt15746554,411790,315971,
tt15128088,414208,154247,59978
tt14447042,410610,134174,57687
tt19768024,419245,201009,73525
tt21062428,420934,202018,66927
tt13063334,,234887,
tt21839652,425342,211084,63611
tt22808620,427369,214070,63975
tt5895570,,154648,
tt21652514,423221,210026,63823
tt23838718,421934,209482,65383
tt16162676,,157858,
tt26340363,429826,218476,67264
tt27476655,428267,215472,67924
tt24214852,428094,216063,72991
tt21438334,422251,211810,67215
tt28494880,428940,157847,69868
tt27921622,436516,234053,70951
tt27835310,428826,217048,66207
tt28143640,434321,252396,71752
tt28744259,418865,197495,80228
tt22749476,425985,136384,
tt30342503,425094,258259,
tt30333827,423499,241065,72008
tt18644688,419615,201694,
tt21148238,422092,204740,70345
tt31973545,436080,250836,83014
tt32536952,450833,256116,77546
tt29363640,450864,249188,
tt28756614,452685,258481,78641
tt6006298,330869,299478,
tt32758825,451813,257209,77629
tt14879018,450102,244623,77064
tt28131836,435645,230250,71801
tt31494603,337944,259188,
tt35665851,459893,283610,86002
tt21048596,147731,219084,69104
tt30007191,442289,327085,
tt29059394,434488,229958,71141
tt12423408,,327108,
tt32237534,449162,252193,76232
tt31263050,443519,241756,73664
tt34763956,455788,274845,
tt37546968,466089,295655,
tt35506453,465668,295389,89476
tt2022190,,235900,32342
tt0840800,,330033,26692
tt2204916,,318717,44169
tt1469149,315411,234262,
tt2404501,,127388,48150
tt2732442,264220,329130,2173
tt5925008,284054,285663,
tt4547008,256590,327633,
tt31186575,256590,327633,
tt28087207,256590,327633,
tt10628224,,326219,
tt6260466,373313,72808,
tt6958622,310509,203374,
tt5941250,452967,105603,
tt8876290,352360,81992,45118
tt6300844,304979,91798,18684
tt7717938,426085,88252,
tt9434996,356737,71249,47708
tt7974672,346652,325695,
tt5969496,384559,105258,57170
tt1988224,250034,231773,
tt11737826,375713,97956,45892
tt10289938,375182,96853,27474
tt29613370,435024,226725,68779
tt6918342,,195998,43818
tt13857476,393288,116175,52438
tt14002134,395917,118676,
tt11388264,378025,96319,45416
tt13175646,,194795,
tt14392248,400694,124411,55489
tt14456714,,216855,
tt15377930,410043,133086,57418
tt13238304,395465,197679,57745
tt18501482,,194930,
tt18266546,417546,194499,
tt20515564,409865,154083,61052
tt19755138,419392,199317,77502
tt20855288,421661,214268,
tt15216918,408690,194606,63380
tt17819196,394186,249527,
tt21370880,423644,208199,72298
tt23333232,421591,210003,64095
tt19368140,,212312,
tt24245988,423987,194797,66499
tt14900148,397142,118932,54215
tt15599734,412078,291212,65399
tt16450274,413526,157080,59543
tt21935534,414420,202460,63203
tt15752618,431276,220977,67310
tt26750072,431366,220842,
tt27536722,443599,224493,
tt27556595,440688,319488,84479
tt23575410,420244,214406,65214
tt28488894,436411,229229,69473
tt28347808,437827,230323,69841
tt27169599,,222694,
tt28020049,,229710,
tt28347811,437834,226511,70532
tt27811645,,230130,
tt27477567,433422,211927,
tt28639343,436346,229210,70520
tt23333068,424173,201722,64620
tt26608508,430653,219715,66821
tt16296870,420722,213895,71249
tt29899652,436644,229915,72504
tt28182389,430047,210191,71608
tt32199328,438965,233742,81432
tt28182032,436964,230128,69745
tt21223050,422621,206395,
tt27460245,426792,209915,69141
tt27950365,450350,243935,
tt32062031,448820,263208,80230
tt32761125,451688,285552,
tt31450820,436702,252774,75635
tt33044857,427609,217141,66749
tt28116029,445600,201776,
tt31174036,452041,243149,78289
tt5848846,366669,330327,
tt32062069,,242214,
tt28132104,442198,251599,72803
tt35792962,454882,272962,79816
tt35936543,450642,283073,
tt35609846,459722,282792,82443
tt35052159,461173,286083,
tt35930089,,284837,83824
tt28653701,464571,328593,87812
tt37458082,465225,288975,85779
tt38593816,470178,299878,89145
tt38754708,,306917,
tt35674791,,312148,
tt28056956,465829,285974,83963
